Model,Specification,ATE,CI_5,CI_95,Max_Rhat,Min_ESS,ELPD,k_good,k_ok,k_bad
BLR,Baseline,1.2547915506986693,0.49362787354897436,1.9340712190468596,1.0030094533930616,1566.241287190774,122.43548934098314,82,1,1
BLR,No_COVID,2.191471373350243,1.6119187240892419,2.7339572797060994,1.0033465603412868,1627.1625032608022,110.4653116385545,82,0,2
BLR,No_Unemp,1.154204015386804,0.2349372080657046,2.022700719163929,1.0041701121154494,1637.9043474290618,109.76776008277824,83,0,1
BLR,Donor_Only,1.9808314323911373,1.471732541282742,2.4668436483251015,1.0053362378711113,1645.3981065150638,103.99929339139784,83,0,1
GAM,Baseline,2.219298733564689,1.447427821053714,2.8984663448763905,1.002677386629368,1072.574926300988,191.63558231501136,80,3,1
GAM,No_COVID,2.2208534425170425,1.0505623796203236,3.1343476905803236,1.0027505607756388,1079.7372868500042,175.02190742021995,80,2,2
GAM,No_Unemp,2.285481533084957,1.4633812265966377,3.0201675538454307,1.004984981304101,1072.232452574989,193.8818507361849,82,2,0
GAM,Donor_Only,2.575000508780201,1.791974208742266,3.237437501602604,1.005010399297977,1051.1137680750983,172.66481492938667,83,0,1
BSSR,Baseline,1.3238160284725307,0.24987557286275397,2.2704098933357018,1.0041811836218315,653.3748374833601,195.85401202869818,76,7,1
BSSR,No_COVID,2.5351372367051748,1.4485543509651362,3.5818342575225173,1.006013661670291,537.0384052959464,179.16734042772757,73,8,3
BSSR,No_Unemp,1.4177105649177981,0.44344586493954574,2.2770294585897766,1.0100547532345443,717.2548772025518,194.92803111162593,76,7,1
BSSR,Donor_Only,2.3446709400762553,1.400138417918814,3.2483026964437087,1.0084735651154413,512.8237790293938,176.60823610582307,77,5,2
