date,region,confirmed,deaths
2020-01-31,Vancouver (BC),1,0
2020-02-01,Vancouver (BC),1,0
2020-02-08,Vancouver (BC),4,0
2020-02-15,Vancouver (BC),4,0
2020-02-16,Vancouver (BC),5,0
2020-02-21,Vancouver (BC),6,0
2020-02-22,Vancouver (BC),6,0
2020-02-24,Vancouver (BC),6,0
2020-02-25,Vancouver (BC),7,0
2020-02-26,Vancouver (BC),7,0
2020-02-27,Vancouver (BC),7,0
2020-02-28,Seattle (King Co),1,0
2020-02-29,Seattle (King Co),4,1
2020-02-29,Vancouver (BC),7,0
2020-03-01,Seattle (King Co),11,3
2020-03-01,Vancouver (BC),8,0
2020-03-02,Seattle (King Co),15,6
2020-03-03,Seattle (King Co),22,10
2020-03-03,Vancouver (BC),12,0
2020-03-04,Seattle (King Co),33,11
2020-03-05,Seattle (King Co),52,11
2020-03-05,Vancouver (BC),21,0
2020-03-06,Seattle (King Co),59,12
2020-03-06,Vancouver (BC),21,0
2020-03-07,Seattle (King Co),72,16
2020-03-07,Vancouver (BC),27,0
2020-03-08,Seattle (King Co),91,18
2020-03-08,Vancouver (BC),27,1
2020-03-09,Seattle (King Co),117,21
2020-03-09,Vancouver (BC),32,1
2020-03-10,Portland (Multnomah Co),1,0
2020-03-10,Seattle (King Co),191,23
2020-03-11,Portland (Multnomah Co),1,0
2020-03-11,Seattle (King Co),235,27
2020-03-11,Vancouver (BC),39,1
2020-03-12,Portland (Multnomah Co),1,0
2020-03-12,Seattle (King Co),271,28
2020-03-12,Vancouver (BC),46,1
2020-03-13,Portland (Multnomah Co),1,0
2020-03-13,Seattle (King Co),329,33
2020-03-13,Vancouver (BC),53,1
2020-03-14,Portland (Multnomah Co),1,1
2020-03-14,Seattle (King Co),389,36
2020-03-14,Vancouver (BC),64,1
2020-03-15,Portland (Multnomah Co),1,1
2020-03-15,Seattle (King Co),421,38
2020-03-15,Vancouver (BC),73,1
2020-03-16,Portland (Multnomah Co),2,1
2020-03-16,Seattle (King Co),489,44
2020-03-16,Vancouver (BC),73,4
2020-03-17,Portland (Multnomah Co),3,1
2020-03-17,Seattle (King Co),518,47
2020-03-17,Vancouver (BC),103,7
2020-03-18,Portland (Multnomah Co),3,1
2020-03-18,Seattle (King Co),563,57
2020-03-18,Vancouver (BC),186,7
2020-03-19,Portland (Multnomah Co),7,1
2020-03-19,Seattle (King Co),693,61
2020-03-19,Vancouver (BC),271,8
2020-03-20,Portland (Multnomah Co),12,1
2020-03-20,Seattle (King Co),794,68
2020-03-20,Vancouver (BC),271,9
2020-03-21,Portland (Multnomah Co),18,1
2020-03-21,Seattle (King Co),935,76
2020-03-21,Vancouver (BC),424,10
2020-03-22,Portland (Multnomah Co),19,1
2020-03-22,Seattle (King Co),1036,77
