country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,city
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-15,-1,-2,11,8,-3,0,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-16,13,1,19,3,-2,-1,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-17,10,4,64,-13,-40,7,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-18,4,2,51,6,-8,1,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-19,2,2,62,6,-7,0,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-20,3,1,53,2,-6,0,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-21,1,-4,51,1,-7,1,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-22,0,-5,34,8,-1,-1,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-23,7,-2,0,2,1,0,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-24,0,-2,16,2,4,-1,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-25,4,1,37,3,1,0,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-26,5,2,45,5,1,-1,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-27,8,1,57,7,2,-1,Seattle
