date,upt_Denver,upt_Minneapolis,upt_Portland,upt_Salt_Lake_City,upt_San_Francisco,upt_Seattle,max_temp,precip,gas_price,unemp_rate,new_cases
2014-01-01T00:00:00Z,8760099,5978242,8397966,3892225,18629758,13039455,8.012903225806452,127.1,3.39975,5.4,0
2014-02-01T00:00:00Z,8054539,6140146,7642856,3570697,17203043,12052990,6.482142857142858,165.3,3.3765,5.4,0
2014-03-01T00:00:00Z,8522192,6846234,8507240,3844080,19266866,13077227,10.896774193548389,262.2,3.6124,5.3,0
2014-04-01T00:00:00Z,8869501,7034749,8854424,3975577,20572722,13496516,13.823333333333334,133.60000000000002,3.824,5.3,0
2014-05-01T00:00:00Z,8660067,6946685,9043017,3598315,20727218,13693906,17.961290322580645,90.09999999999998,3.90375,5.3,0
2014-06-01T00:00:00Z,8332399,6914008,8806989,3575800,19661490,13232776,19.53333333333333,49.30000000000001,3.9724,5.2,0
2014-07-01T00:00:00Z,8430878,7337822,8745898,3623286,20109817,13754793,25.225806451612904,29.9,3.9805,5.1,0
2014-08-01T00:00:00Z,8761836,7745755,8581102,3874937,20379402,13269809,25.280645161290323,30.799999999999997,3.90975,5,0
2014-09-01T00:00:00Z,9294493,7805645,8425252,4329801,19705921,13332724,21.926666666666662,56.099999999999994,3.8172,4.8,0
2014-10-01T00:00:00Z,9735938,8019468,9230735,4392171,20261150,14520045,16.974193548387095,192.80000000000004,3.4625,4.7,0
2014-11-01T00:00:00Z,8143935,6911417,7698724,3658800,17388005,12362324,9.55,198.7,3.11275,4.6,0
2014-12-01T00:00:00Z,8725506,6855340,8121324,3943855,17167954,12450491,8.080645161290322,179.70000000000002,2.8684,4.5,0
2015-01-01T00:00:00Z,8524795,6762412,8238882,3882021,17226687,13143615,9.180645161290322,158.2,2.4095,4.5,0
2015-02-01T00:00:00Z,8123157,6513665,7991551,3655201,15997358,12386479,11.082142857142856,125.3,2.37275,4.4,0
