date,city,gas_price,unemp_rate,total_upt
2014-01-01,Vancouver,129.8,6.5,NA
2014-02-01,Vancouver,131.6,6.4,NA
2014-03-01,Vancouver,141.9,6.1,NA
2014-04-01,Vancouver,147.2,5.9,NA
2014-05-01,Vancouver,149.1,5.8,NA
2014-06-01,Vancouver,152.3,5.9,NA
2014-07-01,Vancouver,146.1,5.9,NA
2014-08-01,Vancouver,143.6,5.8,NA
2014-09-01,Vancouver,141.9,5.8,NA
2014-10-01,Vancouver,131.6,6,NA
2014-11-01,Vancouver,128,5.9,NA
2014-12-01,Vancouver,112.8,5.8,NA
2015-01-01,Vancouver,102.9,5.9,NA
2015-02-01,Vancouver,117.2,5.9,NA
2015-03-01,Vancouver,124.6,5.9,NA
2015-04-01,Vancouver,123.6,5.8,NA
2015-05-01,Vancouver,133,5.8,NA
2015-06-01,Vancouver,135.1,5.8,NA
2015-07-01,Vancouver,135.5,5.6,NA
2015-08-01,Vancouver,130.6,5.6,NA
2015-09-01,Vancouver,118.2,5.7,NA
2015-10-01,Vancouver,116.6,5.6,NA
2015-11-01,Vancouver,124.7,5.5,NA
2015-12-01,Vancouver,122.9,5.5,NA
2016-01-01,Vancouver,110.7,5.6,NA
2016-02-01,Vancouver,105.9,6,NA
2016-03-01,Vancouver,112.9,6,NA
2016-04-01,Vancouver,114.7,5.8,NA
2016-05-01,Vancouver,120,5.4,NA
2016-06-01,Vancouver,121.6,5.2,NA
2016-07-01,Vancouver,124.1,5.4,NA
2016-08-01,Vancouver,119.7,5.4,NA
2016-09-01,Vancouver,125.6,5.4,NA
2016-10-01,Vancouver,128.3,5.4,NA
2016-11-01,Vancouver,115.3,5.5,NA
2016-12-01,Vancouver,120.6,5.4,NA
2017-01-01,Vancouver,127.9,5.1,NA
2017-02-01,Vancouver,125.6,4.8,NA
2017-03-01,Vancouver,133.9,4.7,NA
2017-04-01,Vancouver,138.8,4.8,NA
2017-05-01,Vancouver,134,5.2,NA
2017-06-01,Vancouver,130.1,5.2,NA
2017-07-01,Vancouver,131.8,5,NA
2017-08-01,Vancouver,137.7,4.7,NA
2017-09-01,Vancouver,137.4,4.6,NA
2017-10-01,Vancouver,136.9,4.6,NA
2017-11-01,Vancouver,141.3,4.6,NA
2017-12-01,Vancouver,137.2,4.4,NA
2018-01-01,Vancouver,141.7,4.2,44800000
2018-02-01,Vancouver,144.5,4,45900000
2018-03-01,Vancouver,151.4,4,52300000
2018-04-01,Vancouver,155.1,4.2,46400000
2018-05-01,Vancouver,159.9,4.2,47000000
2018-06-01,Vancouver,154.3,4.3,45600000
2018-07-01,Vancouver,155.7,4.3,44700000
2018-08-01,Vancouver,150.3,4.3,42100000
2018-09-01,Vancouver,151.9,4.2,49800000
2018-10-01,Vancouver,155.2,4.1,52500000
2018-11-01,Vancouver,141.9,4.1,50600000
2018-12-01,Vancouver,138.5,4.4,45300000
2019-01-01,Vancouver,132,4.7,47900000
2019-02-01,Vancouver,134.4,4.8,44100000
2019-03-01,Vancouver,149.6,4.8,48800000
2019-04-01,Vancouver,167.3,4.6,47600000
2019-05-01,Vancouver,169,4.5,47600000
2019-06-01,Vancouver,148.4,4.4,46400000
2019-07-01,Vancouver,151.5,4.4,44500000
2019-08-01,Vancouver,148.2,4.5,43500000
2019-09-01,Vancouver,153.6,4.6,51800000
2019-10-01,Vancouver,158.2,4.8,53900000
2019-11-01,Vancouver,140.5,4.9,50900000
2019-12-01,Vancouver,136.5,4.8,45800000
2020-01-01,Vancouver,139.9,4.6,48600000
2020-02-01,Vancouver,145.9,4.6,47400000
2020-03-01,Vancouver,121.4,5.6,29700000
2020-04-01,Vancouver,96.7,8,9700000
2020-05-01,Vancouver,113,11,10100000
2020-06-01,Vancouver,127.2,13.1,14900000
2020-07-01,Vancouver,131.4,13,17500000
2020-08-01,Vancouver,130,12.2,18000000
2020-09-01,Vancouver,125.9,10.6,21600000
2020-10-01,Vancouver,122.3,9.5,20800000
2020-11-01,Vancouver,123.6,8.5,20600000
2020-12-01,Vancouver,126.1,8,17900000
2021-01-01,Vancouver,134.6,8,16800000
2021-02-01,Vancouver,141.2,7.9,16300000
2021-03-01,Vancouver,149.6,7.7,18600000
2021-04-01,Vancouver,152.2,7.3,17200000
2021-05-01,Vancouver,155.6,7.2,17200000
2021-06-01,Vancouver,161.1,7.2,18700000
2021-07-01,Vancouver,169.1,7.1,19800000
2021-08-01,Vancouver,165.6,6.9,20500000
2021-09-01,Vancouver,156.7,6.6,27700000
2021-10-01,Vancouver,162.4,6.3,27800000
2021-11-01,Vancouver,159.8,5.9,30600000
2021-12-01,Vancouver,157.2,5.6,26900000
2022-01-01,Vancouver,170.5,5.5,21000000
2022-02-01,Vancouver,177.1,5.2,23000000
2022-03-01,Vancouver,198.3,5.1,28800000
2022-04-01,Vancouver,198.5,5,28100000
2022-05-01,Vancouver,220.1,5.1,31000000
2022-06-01,Vancouver,225.4,4.9,31200000
2022-07-01,Vancouver,202.4,4.8,30600000
2022-08-01,Vancouver,193.2,4.6,31100000
2022-09-01,Vancouver,205.7,4.4,37100000
2022-10-01,Vancouver,206.9,4.5,37000000
2022-11-01,Vancouver,183.5,4.6,36300000
2022-12-01,Vancouver,164.1,4.7,32100000
2023-01-01,Vancouver,179.3,4.7,37600000
2023-02-01,Vancouver,183.3,5,34700000
2023-03-01,Vancouver,183,5.2,40400000
2023-04-01,Vancouver,188.9,5.4,36700000
2023-05-01,Vancouver,187.8,5.2,40500000
2023-06-01,Vancouver,202,5.5,39100000
2023-07-01,Vancouver,197,5.6,38000000
2023-08-01,Vancouver,206.9,5.8,38000000
2023-09-01,Vancouver,203.6,6,44200000
2023-10-01,Vancouver,182.3,5.9,44100000
2023-11-01,Vancouver,178.7,6,43100000
2023-12-01,Vancouver,171.7,6,38000000
2024-01-01,Vancouver,168.8,5.9,38700000
2024-02-01,Vancouver,175.8,5.6,43600000
2024-03-01,Vancouver,196.2,5.5,42900000
2024-04-01,Vancouver,210.2,5.5,42100000
2024-05-01,Vancouver,199.9,5.7,43600000
2024-06-01,Vancouver,184.7,5.7,40600000
2024-07-01,Vancouver,181.9,5.9,41200000
2024-08-01,Vancouver,177.5,6,40000000
2024-09-01,Vancouver,174,6.1,45600000
2024-10-01,Vancouver,175.1,6.2,47800000
2024-11-01,Vancouver,174.2,6.3,43100000
2024-12-01,Vancouver,171.1,6.4,39000000
2025-01-01,Vancouver,181.8,6.5,42300000
2025-02-01,Vancouver,188.4,6.7,37500000
2025-03-01,Vancouver,183.3,6.7,43100000
2025-04-01,Vancouver,166.1,6.5,42500000
2025-05-01,Vancouver,173.4,6.4,42800000
2025-06-01,Vancouver,165.6,6.2,41100000
2025-07-01,Vancouver,164.2,6.2,41300000
2025-08-01,Vancouver,168.8,6.2,39200000
2025-09-01,Vancouver,171.5,6.3,44400000
2025-10-01,Vancouver,161.8,6.3,44200000
2025-11-01,Vancouver,161.7,6.2,41500000
2025-12-01,Vancouver,147.4,6.3,NA
