city,date,total_upt
Portland,2014-01-20T00:00:00Z,8397966
Portland,2014-02-20T00:00:00Z,7642856
Portland,2014-03-20T00:00:00Z,8507240
Portland,2014-04-20T00:00:00Z,8854424
Portland,2014-05-20T00:00:00Z,9043017
Portland,2014-06-20T00:00:00Z,8806989
Portland,2014-07-20T00:00:00Z,8745898
Portland,2014-08-20T00:00:00Z,8581102
Portland,2014-09-20T00:00:00Z,8425252
Portland,2014-10-20T00:00:00Z,9230735
Portland,2014-11-20T00:00:00Z,7698724
Portland,2014-12-20T00:00:00Z,8121324
Portland,2015-01-20T00:00:00Z,8238882
Portland,2015-02-20T00:00:00Z,7991551
Portland,2015-03-20T00:00:00Z,8739215
Portland,2015-04-20T00:00:00Z,8804814
Portland,2015-05-20T00:00:00Z,8590431
Portland,2015-06-20T00:00:00Z,8442529
Portland,2015-07-20T00:00:00Z,8642576
Portland,2015-08-20T00:00:00Z,8410145
Portland,2015-09-20T00:00:00Z,8531987
Portland,2015-10-20T00:00:00Z,8992869
Portland,2015-11-20T00:00:00Z,8024096
Portland,2015-12-20T00:00:00Z,8032952
Portland,2016-01-20T00:00:00Z,8264665
Portland,2016-02-20T00:00:00Z,8289578
Portland,2016-03-20T00:00:00Z,8786848
Portland,2016-04-20T00:00:00Z,8633877
Portland,2016-05-20T00:00:00Z,8475434
Portland,2016-06-20T00:00:00Z,8463209
Portland,2016-07-20T00:00:00Z,8259699
Portland,2016-08-20T00:00:00Z,8506245
Portland,2016-09-20T00:00:00Z,8149854
Portland,2016-10-20T00:00:00Z,8469720
Portland,2016-11-20T00:00:00Z,8081524
Portland,2016-12-20T00:00:00Z,7711005
Portland,2017-01-20T00:00:00Z,8278316
Portland,2017-02-20T00:00:00Z,7624336
Portland,2017-03-20T00:00:00Z,8730374
Portland,2017-04-20T00:00:00Z,8256694
Portland,2017-05-20T00:00:00Z,8588248
Portland,2017-06-20T00:00:00Z,8330342
Portland,2017-07-20T00:00:00Z,8040569
Portland,2017-08-20T00:00:00Z,8311142
Portland,2017-09-20T00:00:00Z,7956702
Portland,2017-10-20T00:00:00Z,8597623
Portland,2017-11-20T00:00:00Z,7860555
Portland,2017-12-20T00:00:00Z,7451319
Portland,2018-01-20T00:00:00Z,8164408
Portland,2018-02-20T00:00:00Z,7487019
Portland,2018-03-20T00:00:00Z,8381818
Portland,2018-04-20T00:00:00Z,8146216
Portland,2018-05-20T00:00:00Z,8584421
Portland,2018-06-20T00:00:00Z,8086780
Portland,2018-07-20T00:00:00Z,8046000
Portland,2018-08-20T00:00:00Z,8275541
Portland,2018-09-20T00:00:00Z,7852284
Portland,2018-10-20T00:00:00Z,8763674
Portland,2018-11-20T00:00:00Z,7942494
Portland,2018-12-20T00:00:00Z,7340480
Portland,2019-01-20T00:00:00Z,8125531
Portland,2019-02-20T00:00:00Z,7226069
Portland,2019-03-20T00:00:00Z,8059089
Portland,2019-04-20T00:00:00Z,8286959
Portland,2019-05-20T00:00:00Z,8634022
Portland,2019-06-20T00:00:00Z,8093986
Portland,2019-07-20T00:00:00Z,8200353
Portland,2019-08-20T00:00:00Z,8141301
Portland,2019-09-20T00:00:00Z,7926042
Portland,2019-10-20T00:00:00Z,8842859
Portland,2019-11-20T00:00:00Z,7877674
Portland,2019-12-20T00:00:00Z,7656743
